"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
117296,"AspectJ","Compiler","aclement","RESOLVED","FIXED","Stack overflow when using self-bounded generics","2005-11-23 03:45:41"
45489,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","Structure model is wrong when re-opened","2004-03-19 09:42:41"
104720,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","VerifyError after weaving around trivial switch statement","2005-08-25 10:27:23"
108377,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","Verify Error on intertype field indirection in intertype method","2005-08-31 09:21:48"
174385,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Compiler crashes on use of static final string as pointcut expression","2008-06-10 16:21:25"
43030,"AspectJ","IDE","adrian.colyer","RESOLVED","FIXED","unit tests failing due to misuse of getAbsolutePath()","2003-09-17 03:06:00"
42740,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","declare error fails on pointcuts composed from multiple classes","2003-09-09 20:39:45"
29665,"AspectJ","Compiler","eh-ajdev","RESOLVED","FIXED","Inconsistant stack height","2003-04-24 16:13:55"
120375,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","Support Load-Time Weaving and HotSwap","2012-04-03 11:50:51"
46557,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","RFE: ajdoc lite","2004-04-14 14:49:33"
48072,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","Complete relationship information in the structure model","2005-08-17 14:09:08"
82570,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","Weaved code does not include debug lines","2006-05-16 10:38:34"
116890,"AspectJ","Compiler","aclement","RESOLVED","FIXED","enums make the ajdt compiler to throw a npe","2005-11-18 07:09:51"
43792,"AspectJ","Compiler","eh-ajdev","RESOLVED","FIXED","Illegal Opcode Detected","2004-03-19 09:48:09"
45676,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","AspectJ enhanced code can not be used with plain old java anymore","2004-01-14 06:35:26"
235505,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","parsing errors on privileged generic aspect","2008-06-10 23:44:56"
115788,"AspectJ","Compiler","aclement","RESOLVED","FIXED","NPE (CodeStream.java:3463)","2005-11-23 06:15:04"
296040,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","IllegalAccessError when compiling with ajc","2009-11-26 18:24:15"
113066,"AspectJ","Compiler","aclement","RESOLVED","FIXED","NullPointerException when compiling project","2005-11-07 08:59:39"
268827,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","incremental build issues","2009-04-01 06:48:30"
299548,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Out of memory error and the one listed below + workspace related issue already a bug","2010-04-16 13:10:12"
42746,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","within() pcd is confused for certain declare softs","2003-09-09 20:39:24"
59909,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","CFlowStack removesThreads to late","2012-04-03 15:52:45"
164016,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","[plan] [ataspectj] [decp] @DeclareParents incorrectly adds mixin with parent interface","2009-01-06 18:54:44"
114343,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[generics] field-get problems when generic field is used.","2005-11-24 03:31:47"
39959,"AspectJ","Compiler","mik.kersten","RESOLVED","FIXED","AJC Compiler generates invalid class files under certain circunstances.","2003-08-28 06:39:04"
263487,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","NPE during incremental build whilst locating type in model","2009-02-04 16:00:32"
32399,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Incorrect binding of protected (marker) interfaces","2003-03-06 17:03:17"
39479,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","NPE in bcel.LazyMethodGen when delegating from one ctor to a second that includes a switch.","2012-04-03 15:46:43"
376351,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","attribute problems with Java 7 compilation","2012-04-09 17:20:41"
298704,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","NPE during clean build inheriting from a base aspect","2010-04-16 13:10:14"
266564,"AspectJ","Runtime","aspectj-inbox","RESOLVED","FIXED","java.lang.VerifyError: Register 2 contains wrong type","2009-02-27 21:29:32"
246393,"AspectJ","Compiler","AJDT-inbox","RESOLVED","FIXED","[plan] Cascading errors","2009-01-30 11:42:26"
41123,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Weaving failure when using injars","2003-08-28 08:07:08"
230134,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","NoSuchFieldError: ajc$cflowCounter$0","2008-05-08 03:07:44"
34925,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","compiler crash on yesterday's rc1 build","2003-03-14 16:29:26"
323417,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","Sometimes StackOverflow is got while weaving","2012-04-03 15:48:49"
216311,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","ITD fields on interfaces end up transient with annotation style","2008-02-20 15:01:22"
116626,"AspectJ","Compiler","matthew_webster","RESOLVED","FIXED","Load-time weaving - exception from the weaver","2005-11-22 00:24:12"
45441,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","IncompatibleClassChangeError at runtime when compiling with -1.4 option","2004-02-01 18:20:26"
42652,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Regression: Cannot compile complex weaving anymore","2003-09-08 11:32:10"
126167,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[@AspectJ] @AJ around advice does not behave like code style","2006-06-26 04:23:39"
265695,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Fix for 239441 introduces terrible regression for annotation pointcut matching","2009-02-23 12:19:55"
39974,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","Some strange error when compiling the observer example with JBuilder7 integrated AJDE","2003-08-28 06:39:18"
116755,"AspectJ","Library","adrian.colyer","RESOLVED","FIXED","PointcutParser is not configurable","2005-11-21 07:09:06"
284771,"AspectJ","IDE","aspectj-inbox","RESOLVED","FIXED","incorrect weaving information shown in cross reference view and editor","2009-07-27 13:25:51"
307120,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","pipeline weaving problem when advising fields accessed through privileged aspect","2010-05-13 13:46:30"
245566,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] [incremental] Reduce overhead in preparing for incremental compiles","2012-04-03 14:12:25"
32421,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","can't resolve nested public interfaces","2003-03-06 17:03:27"
376990,"AspectJ","Ant","aspectj-inbox","RESOLVED","FIXED","iajc does not support source compliance level 1.7","2012-04-18 17:18:08"
394234,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Invalid StackMapTable generated in Java 7","2012-11-15 11:46:46"
334710,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","pre compiled aspects with 1.6.7 causing java.lang.NegativeArraySizeException","2011-02-21 00:20:48"
226567,"AspectJ","Compiler","AJDT-inbox","RESOLVED","FIXED","Inter-type declaration with generic return type across packages causes return type incompatibility","2008-04-24 00:31:08"
197720,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Generics in parent class removes markers from child classes","2008-08-22 13:09:32"
32428,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","can't use pointcuts defined in inner aspects","2003-03-06 14:16:34"
269562,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] Compiler/LookupEnvironment reset too frequently","2009-07-23 15:48:01"
245274,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Weaving regression","2008-08-27 22:07:35"
135068,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","VerifyError with LTW and @AJ style aspects","2006-05-16 09:45:26"
39462,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Compiler crashes in jar and cflow","2003-08-28 08:06:05"
314130,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","[plan] [ltw] [hcr] LTW, Reweaving and Hot Code Replace changes reflected every two saves of files","2010-06-28 10:03:47"
287843,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","InputStream not closed","2009-09-03 18:59:47"
335783,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","NullPointerException when -XaddSerialVersionUID added","2012-04-03 14:21:34"
203646,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","NPE compiling inter-type declaration on inner generic interface","2007-11-07 05:06:06"
36778,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","ClassFormatError due to empty interface supertype","2003-04-24 17:04:39"
292584,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","When annotation-style around advice is inlined, abstract methods are called using invokespecial instead of invokevirtual","2010-04-16 13:10:11"
211052,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Invalid error for declare @type when specifying enum value for annotation","2007-12-04 03:42:59"
35865,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","No weaving when introduction to compiled class (in jar) is made - compiler bug","2003-04-10 20:42:37"
61538,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","nested uses of this() inside constructors not handled properly for initialization and preinitialization pointcuts","2004-05-13 05:24:54"
290087,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","VerifyError : Declare parents does not properly rewrite super constructor call, since 1.6.4 present in 1.6.5","2009-09-22 16:33:02"
262154,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","MissingImplementationException at EclipseSourceType.java:705","2009-01-23 13:28:57"
280380,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] [model] Model not updated correctly after incremental build---ITD","2010-04-30 13:59:14"
39170,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","Problem with aspectJforBuilder when using with JBuilder9","2003-08-28 06:38:45"
314766,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","NPE when using aop.xml for compile time config","2010-05-27 16:13:21"
37758,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Weaving rt.jar results in stack overflow","2003-05-21 14:05:42"
350855,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","overweaving misbehaving when subclassing WeavingURLClassLoader","2011-06-30 11:35:18"
156058,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[generics] Reference to pointcut defined in generic aspect, within generic interface","2012-04-03 15:50:36"
227484,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","[plan][memory][ltw]Reducing weaver memory usage over time","2010-01-12 20:06:20"
44586,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","After throwing advice on ctors doesn't execute for inter-type decls","2004-01-13 11:16:52"
39993,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","ajc stack trace on declaring hashcode() method in aspect","2003-09-16 13:08:39"
309336,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Build problems / OOM in Eclipse","2010-05-13 13:48:26"
271704,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","RTE in weaver from AJDT","2009-05-08 13:07:25"
48522,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Declare soft softening other exception types","2004-02-24 10:32:04"
222987,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","More NPEs in Java15AnnotationFinder","2008-08-28 12:00:05"
263837,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","Error during Delete AJ Markers","2009-02-06 15:55:47"
282379,"AspectJ","Compiler","kdevolder","RESOLVED","FIXED","[plan] spaces in file names causes AspectJ weaver to fail","2012-04-03 15:59:32"
109614,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[waiting-on-build] [iajc.task] java.lang.RuntimeException: Ranges must be updated with an enclosing instructionList","2005-12-08 10:17:40"
280651,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Faulting in aspects broken for @DeclareMixin","2009-06-17 16:53:53"
303924,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","@DeclareMixins are reweaved with random effects: correctly, not at all or partially (the delegating methods are added but not the implements)","2010-04-16 13:10:16"
279298,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","AspectJ LTW with Cobertura","2010-03-17 14:08:40"
59895,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","NPE updating an aspect in incremental mode","2012-04-03 16:10:18"
49784,"AspectJ","Docs","eh-ajdev","RESOLVED","FIXED","declaring interface methods should work as it does in interfaces","2004-10-21 04:31:52"
34820,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","ajc -aspectpath  fails with NPE for cflow pointcuts","2003-03-12 13:21:26"
322446,"AspectJ","AJBrowser","aspectj-inbox","RESOLVED","FIXED","Model problem with declare parents in abstract aspect","2010-08-13 11:51:27"
46750,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","""declare soft"" inside nested aspect does not work","2004-01-12 05:24:09"
38824,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Anomalous handling of inter-type declarations to abstract base classes in aspectj 1.1","2004-01-15 04:17:59"
314365,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","pointcut rewriter can have issues for large hashcode values","2010-05-25 19:06:42"
46282,"AspectJ","Docs","eh-ajdev","RESOLVED","FIXED","When creating obj thru intro constructor init code fails to execute","2004-01-29 10:58:41"
206732,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[itds] Problem with ITDs appearing to be applied twice (and clashing) for binary types","2007-11-07 04:15:33"
42711,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","tests/bugs/privilege","2004-03-19 09:51:08"
128655,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[annotations]Compiler crashes (possibly due to declare @type)","2006-02-21 07:05:01"
251277,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] [ide] AsmManager should be non-singleton","2008-10-22 17:24:49"
114436,"AspectJ","Compiler","aclement","RESOLVED","FIXED","java.lang.ClassFormatError when using abstract aspect with perthis/pertarget","2005-11-15 09:44:22"
37325,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Weaver fails with NPE for very large source files","2003-05-11 14:53:48"
36803,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","BCException thrown by AspectJ 1.1rc1","2003-04-25 14:10:25"
294647,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","NPE in at org.aspectj.weaver.ResolvedType.addPointcutsResolvingConflicts(ResolvedType.java:1949)","2010-01-25 16:59:19"
308773,"AspectJ","Library","aspectj-inbox","RESOLVED","FIXED","IllegalStateException at ResolvedMemberImpl.java:676","2010-04-16 13:10:16"
344326,"AspectJ","IDE","aspectj-inbox","RESOLVED","FIXED","Any change in class that calls an inner class method causes recompilation in all referencing classes","2011-05-03 10:43:45"
211146,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Fields and methods of parameterized type introduced by ITDs become raw types after weaving","2008-08-21 19:13:52"
269286,"AspectJ","Build","aspectj-inbox","RESOLVED","FIXED","[handles] Handle for method with @Before looks like advice, but should look like method","2009-03-27 14:11:45"
36046,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","inter-type declaration bug with abstract classes","2003-04-10 18:20:15"
221427,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Builds are too frequently full builds for minor changes","2008-04-23 16:03:37"
35593,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Problem with priviliged aspects","2003-04-10 16:38:17"
314840,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] ArrayIndexOutOfBoundsException - annotation style joinpoints","2010-05-28 16:52:54"
109016,"AspectJ","AJBrowser","mik.kersten","RESOLVED","FIXED","NullPointerException when building configuration","2005-09-22 11:38:37"
266602,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Problem with incremental itd compilation","2009-03-01 23:01:16"
250632,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] [generics] [itds] Wrong 'cannot convert"" error","2008-10-14 18:55:28"
44587,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Erroneous exception conversion","2004-03-19 09:52:01"
42539,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","throw derivative pointcuts not advised.","2003-09-04 11:44:35"
34779,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","cannot get aspectj compiler to work in ant build","2003-05-19 16:46:42"
309440,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","ArrayIndexOutOfBoundsException with parameter annotations","2010-05-13 13:48:27"
247683,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","Weaver produce NPE exceptions","2008-09-29 15:17:02"
320468,"AspectJ","Runtime","aspectj-inbox","RESOLVED","FIXED","ModifiersPattern.getModifierFlag() is not thread safe","2010-08-26 11:21:18"
214559,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Binary operator with type patterns in declare parents don't work as expected","2008-02-20 16:08:52"
113447,"AspectJ","Compiler","aclement","RESOLVED","FIXED","VerifyError overriding pointcut with context used in around advice","2012-04-03 16:01:37"
41359,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","percflow aspects compiled from jars share one instance for all entry points","2003-08-28 17:38:00"
386888,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","spring-data hello-worlds sample fails to compile with 1.7.0","2012-08-27 13:54:40"
318241,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","declare parents with annotations and annotation values can cause problems","2010-06-28 19:46:57"
210470,"AspectJ","LTWeaving","aspectj-inbox","RESOLVED","FIXED","Class Reloading and Load Time Weaving","2008-06-08 13:37:40"
280676,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","incremental generic itd problems","2009-06-18 14:37:13"
112756,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","ajdt compiler generate false warnings","2005-11-09 05:40:39"
40876,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","ClassFormatError on external subtype-qualified ref to supertype pointcut","2003-08-28 08:06:50"
30676,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Extended Aspect  does not result in advice, introduction, or error declarations","2003-03-11 14:46:58"
40824,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","asm treats ""declare parents"" as methods","2003-08-28 06:46:18"
108892,"AspectJ","Compiler","avasseur","RESOLVED","FIXED","Load Time Weaving problem with Aspect Definition at 2 Levels of Hierarchy","2005-11-04 02:30:34"
40771,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","ajde apis are unnecessariy coupled to swing","2003-08-28 06:44:45"
238992,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Annotation values in declare parents or declare @type.","2008-11-28 19:52:08"
185447,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] [ataspectj] Abstract @Aspect causing problems","2008-12-01 16:01:52"
293620,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","optimizing method lookup","2009-11-17 11:30:10"
111750,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","[iajc] Invalid method signature: TT; compiles ok with aspectj 1.2.1","2005-11-02 10:42:54"
117190,"AspectJ","Compiler","aclement","RESOLVED","FIXED","NPE from recent compiler","2005-11-23 09:50:49"
113511,"AspectJ","Compiler","avasseur","RESOLVED","FIXED","LTW enhancements","2005-11-22 04:33:46"
198196,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","super call in nested anonymous classes in itd's causes VerifyError or IncompatibleClassChangeError","2008-06-16 23:11:32"
319190,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","operator precedence messed up in some pointcuts","2010-07-07 17:02:12"
110927,"AspectJ","Compiler","aclement","RESOLVED","FIXED","Problem creating signature for type implementing non-parameterized interfaces","2005-09-30 08:14:18"
32463,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","ajc reports error when encountering static declaration of nested classes","2003-03-05 19:18:35"
113118,"AspectJ","Compiler","aclement","RESOLVED","FIXED","ClassFormatException with tracing aspect","2005-11-16 11:09:55"
36110,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","IllegalAccessError while accessing introduced variable / 1.1rc1","2003-04-11 20:53:20"
95517,"AspectJ","Compiler","matthew_webster","RESOLVED","FIXED","ajc pseudo LTW not consistent with LTW","2005-11-16 05:39:59"
41175,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","binary aspect-declared methods conflict, lost their exception clauses","2003-08-28 08:07:26"
125080,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[generics] Problem with abstract, generic aspects and ""extends""","2006-01-25 09:37:42"
112830,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","Warning ""couldn't find aspectjrt.jar on classpath""","2012-10-11 12:26:45"
40990,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","outline view erroneously shows joinpoints inside aspects","2003-08-28 08:02:41"
115251,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","BCException when compiling incrementally on constructor-call shadow","2012-04-03 16:08:55"
35551,"AspectJ","Docs","eh-ajdev","RESOLVED","FIXED","""declare soft"" in abstract aspect have no effect","2003-08-28 08:05:22"
93310,"AspectJ","Compiler","aclement","RESOLVED","FIXED","Incremental Compilation Problem on Reweavable","2012-04-03 16:04:33"
40826,"AspectJ","IDE","mik.kersten","RESOLVED","FIXED","ajbrowser does not report errors properly","2003-08-28 06:46:30"
115204,"AspectJ","Compiler","aclement","RESOLVED","FIXED","WildAnnotationTypePattern.java:61 NPE after renaming method-annotation class","2005-11-22 22:55:05"
145950,"AspectJ","Compiler","aclement","RESOLVED","FIXED","-XaddSerialVersionUID doesn't work if there is an indirect route to Serializable in the hierarchy","2006-06-08 04:27:45"
40805,"AspectJ","Compiler","aspectj","RESOLVED","FIXED","call pointcut with interface type fails if method declared on interface","2009-03-31 06:11:12"
103157,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","after returning should not bind ""null"" as return value","2005-11-23 10:02:23"
114495,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","unqualified superaspect<T> pointcut sortafunny in subaspect","2005-11-24 03:37:00"
205907,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","Custom pointcuts do not work correctly when used in reference pointcuts","2008-03-14 14:55:51"
53981,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","proceed used as method name in around advice","2004-10-21 04:31:13"
86903,"AspectJ","Compiler","aclement","RESOLVED","FIXED","weaving aborts with ""BCException: bad""","2005-11-05 05:37:46"
114005,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","annotated ITD fields on interfaces have no annotation","2005-11-09 09:47:08"
49295,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","duplicate warning or second join point for constructor-execution","2004-01-27 19:45:21"
105416,"AspectJ","Compiler","avasseur","RESOLVED","FIXED","LTW warnings for Collection Members?!","2005-08-12 12:48:55"
91859,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[inc-compilation] Incremental ITD problems","2005-11-10 03:04:23"
307147,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","method-call joinpoints in ITDs for private methods - missing!","2015-09-03 17:22:16"
91381,"AspectJ","Compiler","adrian.colyer","RESOLVED","FIXED","Abstract intertype methods and covariant returns","2005-08-25 03:21:20"
112914,"AspectJ","Compiler","aclement","RESOLVED","FIXED","Load-time weaving only works with a 1.5 JRE","2005-11-08 06:00:13"
290227,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","NPE when using @AspectJ classes compiled with javac at ReferencePointcut.java:356","2009-09-23 12:01:04"
47910,"AspectJ","Compiler","matthew_webster","RESOLVED","FIXED","ajc -outjar jarfile does not contain MANIFEST.MF","2004-03-17 07:32:26"
173602,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","InterTypeMethodDeclaration.java:90","2008-03-19 19:35:02"
39460,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","Missing import crashes compiler","2003-08-28 08:05:50"
112736,"AspectJ","Compiler","aclement","RESOLVED","FIXED","Bogus Compiler Warnings when Converting file extensions","2012-04-03 16:17:05"
90143,"AspectJ","Compiler","aclement","RESOLVED","FIXED","[itds] Problem with an ITD on an interface","2005-11-05 05:38:28"
115237,"AspectJ","Compiler","aclement","RESOLVED","FIXED","no aspectOf() on parameterized perobject aspects","2005-11-18 03:12:35"
38131,"AspectJ","Compiler","jim-aj","RESOLVED","FIXED","ajc needs -d . option while correctly compiling classes from subpackage","2003-05-27 13:41:35"
112476,"AspectJ","Compiler","aclement","RESOLVED","FIXED","""declare parents"" does not work with bytecode weaving","2005-11-05 05:40:27"
40814,"AspectJ","Compiler","aspectj","RESOLVED","FIXED","no error when defining interface pointcuts","2003-08-28 06:38:12"
114744,"AspectJ","Compiler","aclement","RESOLVED","FIXED","NPE at CaptureBinding.java on wildcard in intertype field type","2005-11-03 03:25:16"
298504,"AspectJ","Compiler","aspectj-inbox","RESOLVED","FIXED","[plan] NPE at AjLookupEnvironment.java:915","2010-04-16 13:10:16"
42668,"AspectJ","Compiler","eh-ajdev","RESOLVED","FIXED","effect of an after returning type incompatible with a join point return type","2004-01-29 10:13:58"
